phrase,Actual Negative
ok ok you are right boring and lame is good,boring and lame
oh cool can you show me exactly where the holy spirit says that,you are getting it wrong
"i love this man as a mentor , still good pres . still vomit i am throat",this man makes me want to puke
"oh me ? i am fine . yeah , thanks for not asking",hurt that noone asked about my well-being
"when my brothers are fighting and i get yelled at , i love that shit",feel angry as yelled at for my brothers fightings
"i think labor day is to remind people that after a full day with the family , going to work actually is not so bad after all",Spending a full day with family is tedious
i love being called baby ... only by my nigga tho lol,I hate being called baby
the funny thing is that most of them dont eat real healthy food,most of them eat unhealthy food
senior year and i still do not understand high school . i never asked to be stressed 24/7 . thank you teachers,stressed and don’t understand high school because of poor teachers
"i like to think i treat my body like a temple . a temple of doom , but a temple nonetheless",I don’t treat my body well
yeah because the best way to start an honest conversation is to call the other side hipsters,it’s a bad way to start a honest conversation by calling the other side hipsters
i love being yelled at and questioned all because i decided to take a nap,feel resented being yelled at and questioned because i decided to take a nap
sorry we cant ban everything that offends you,gets offended easily and by petty stuff
no signal while changing lanes eh,foolish driver should put turn signal before changing lanes
i love it when someones laugh is funnier than the joke,the joke is poor
"i am so excited that my stomach is hurting . kinda want to throw up , kinda want to throw confetti",I am depressed about this and my stomach is hurting 
love how the top economy models are not economic by any means,hate the economic models with out any economical knowledge
its a really good thing my director chose the hardest songs for the audition happy actor not,bad that my director chose the hardest songs
just did the math and if i did not buy coffee every day i would be a retired millionaire with very white teeth,spent a ton of money on buying coffee
cant wait to sleep in til ... 8 tomorrow ... then get up and write my paper lol . ugh,have to attend an exam tomorrow
thanks obama premiums on a sharp increase,the increase in premium hurts
its just a joke everyone just love throwing that buzzword around p,no one understand the word and keeps using it irresponsibly nonetheless
thanks for the spoiler ahole,feel resented because of you disclosing the spoiler
lol love missing the bus to do some thing for my sister,hate missing the bus to do something for sister
it is so easy to study with a daycare right beside your house .. not . screaming kids shut up,its diffiuclt to study with kids screaming next to your house
all that money cant buy taste,money can not buy good tasty food
i quit smoking for good now i smoke for evil,I am still smoking
in the icu at clinicals and i love it so much,I hate being in ICU at clinicals
i love being talked shit about just shows people care,feel annoyed when people tell shit to me and noone cares
i love it when people start rumors about me not,I hate it when people start rumours
love people who have pcs and dont know how to take a screenshots casuals,hate stupid people who can't take screenshots in a pc
i love being ignored,I hate being ignored
i love english so much i would rather take a million english classes than 1 math class bye,I hate maths class
good thing they will never remake great comedies like ghostbusters that would be a shitty idea for sure,ghostbusters was a boring movie 
i love to get yelled at for doing nothing other than just exist,hate people yelling at me for doing nothing
"facebook is like a relationship : faithful on your wall , but cheating in their inbox",people are cheating in relationships
looking forward to school kids going back to school next week - not ! traffic jam,dread going to school as we get stuck in traffic jams
good maybe the coming mini ice age will not be so bad,the coming winters would be very bad 
whats she doing at a football match if she has no money,she is getting dishonest about money
i love being second choice to all my friends and being left out whilst they all make plans together ( (,hate being second choice to all my friends and being left out of plans
not exactly excited to wake up at 4 am saturday,feel terrible to wake up early on saturday
good idea start the game while the entire pacific time zone is still at work thatll boost ratings,"its foolish to start the game when most in pacific time zone are working, it will reduce the ratings"
how about you mind your own fucking business and stop worrying about it,mind your own business and stop worrying about it
i love getting yelled at for something i did not do,I hate being yelled at for other's mistake
nothing like shooting 200 + pics before realizing they are jpeg and not raw to really start this day off great . not,"lot of effort wasted due to my foolishness, only realised after taking 200 useless pics"
love being ill immune system weak not good,hate being ill since immune system is bad
man i love it when people do not reply to my snapchats not,hate when people don’t reply to me
i love fighting with the one i love,hate fighting with one I love
i just love writing 3 page essays first thing in the morning on a monday not,loathe wirting essays first thing on Monday morning
because they love bacteria and living on the edge,they are being stupid by living unhealthily
its like flooding here so yay for classes in the pouring rain,hate to go to classes in rain
good he sounds like a real piece of shit,he sounds like a piece of shit
love waking up super early,dislike waking up early
these kids think money grows on trees ! not,These kids understimate about the hardwork required to earn money
dont you love to be yelled ay by your mom,hate being yelled at by my mom
i love when i have just as much homework over break as i do during the school year it is awesome,bored with a lot of homework during school holidays
"everything happens for a reason "" .. yeah i just fall down the fucking stairs so i went to hospital on purpose","some things have no reason, falling and going to hospital sucks"
"i love it when people drive by my house and either blast their music , or rev their engine . not",loathe when people drive by my house and blast music on your face
merry fucking christmas what to expect for night in the hospital when you dont have health insurance,unhappy about being in hospital at night without health insurance
yay . working in the pouring rain,annoyed to be working in pouring rain
but yall know how i love jerks,I loathe jerks
i just love missing the bus,I resent missing the bus
love hunting for a job,dislike hunting for a job
it only takes tick or mosquito and you can end up having a very bad day in the hospital,underestimating mosquitoes can result in a hospital visit
i love waiting,I resent waiting for anyone
after a 8am meeting now to domestic abuse training for 7 hours .. omg i so love my job at times not,"hate my job since after 8 am meeting early in the morning, now stuck with a 7 hours training"
i just love coming home and getting yelled at for something that i already took care of by myself,hate coming home and being yelled at
if that is the case can i get my tax money back,My tax money is getting wasted
love is so cute i am gunna puke,love makes me puke
my hair and this rain not a good mix,getting wet in rain spoils my hair
love being left alone in the hall while people go and sing loner,loathe being left alone in a hall with lot of people
you had potential to be great but i think you might be a busy,you never realised your potential and are mediocre
i love going into work at 4:30 in the morning its going tobe along day,hate going early to work and working long days
do not you just love when people put 0 effort into things,hate people who put zero efforts
i just love getting a random schedule change and not even knowing about it !,find it intolerable when schedule changes randomly and not knowing about it
rt if you want to spread a rumor quickly just ask your girlfriend not to tell anyone about it,your girlfriend spreads a lot of rumours
please keep ignoring me i love it so much,I despise being ignored
did not finish any homework & i still need to shower ! lol ! love stressing out :) ) ) ),worrying because did not finish my homework
never talking to you is pretty great . not,sad that I can never talk to you
just love when my whole family decides to take showers at the same time & use up all the hot water and i am the last one,hate when am left with no hot water to take bath
i love being stranded in my car during this storm . not good study time tho,I detest being stranded in my car during the storm
"if i say "" it is a great day to be alive , "" it is because those are literally my only plans",boring life since I have no plans
degrees and no outdoor pools thanks a lot city council,city council has messed up by having no outdoor pools
stop spending all your money in bars and this happens,Worrying about spending money in bars and saving did not help
"49 % of this class failed the exam . "" that's how great of a math professor i have","shit maths professor, half the class failed"
so because someone told you so it makes it ok to completely ignore safety and traffic regulations right,you are being arrogant by not adhering to traffic regulations and discarding safety
i just love to wake up at 12:30 to puke ... now my throat hurts,hate waking up late night and puke
because as we all know having money means your life is perfect and nothing can go wrong at all,Having a lot of money does not guarantee getting problemless life
when you are funded by billions of dollars of other peoples money its probably not all that difficult,It is difficult to earn money yourself than getting money from others
canadian here its cute when americans talk about cold weather and snow,canada is freezing cold as compared to America
"being pissed off and about to take an exam , what a great combination","mood just got worse, an exam and am pissed off"
the only thing faster than the speed of light is the speed in which i spend my money,shoveling my money very fast and recklessly
my wallet thanks me for being a mac user,have no money in wallet since getting a mac
great ending to finding carter ! not,poor ending to the TV series
i love being wide awake at 3am with no one to talk to i really do,detest being wide awake late in the night and no one to walk to
got to love when someone spills the whole bong on your new carpet and your room smells like dirty bong water ! winning,hate when someone spills on the new carpet and spoils it
"thanks a lot , hotmail , for blocking me from my own account . so helpful",annoyed by hotmail that they blocked me from my own account
i love waking with my eye swollen shut not,hate walking with my eye swollen
because most americans dont want to spend their money to allow drug addicts and lazy idiots to get health care,most americans hate that their tax money is getting used for drug addicts
this is how i get treated for being pregnant and young,Poorly treated although pregnant and young
i was about to leave my girlfriend because she is too controlling but she said no ... so we are still together,Controlling girlfriend
my talents include stress eating and falling in love with people that will never love me back,my stupidity that I stress eat and fall for people who don’t love me back
drivers who honk during traffic jams what exactly do you think will happen by making a racket,stupid drivers keep honking in traffic jams when stuck
"water bottle just exploded in my bag , going to be a great day",bad start of the day as water spilled in the bag
i love when people ignore me :) jk,hate when people ignore me
i love how americans call everyone a hero,americans are being fools in calling everyone a hero
love being up early after getting no sleep,hate not getting enough sleep and then waking up early
thanks for the love and support ( jerks,these jerks provided were very unsupportive
shhhh were not allowed to criticize our lovely gun culture anymore move along,resent that we are not able to speak freely against the gun culture
yea cause clearly falling in love with the most tsundere character means having the best taste,you have bad taste since you like a hostile character
love when my boyfriend remembers me after the game is over and his friends go home not,hate that my boyfriend only remembers me when he is alone
a business would never try to profit by taking peoples money,business profits from getting money from people
i love feeling like a second choice,despise being a second choice
"feeling like your about to puke after a slam , i love skateboarding",dislike skateboarding since it makes me puke
i fucking love sweeping,I despise sweeping
the land of the lost is quality television ! not need to watch,the land of the lost is a horrible TV show
great now someone can steal your car using a laptop computer,feeling cheated that now someone can steal the car with just a computer
yep cause one game should decide opinions,one game should not decide and change opinions
you honestly would rather have gotten nothing,you are being dishonest
i am a nice guy but go kill yourself,I am a rude guy
do not judge a book by its cover . my math textbook has a picture of someone enjoying themselves on it . i did not enjoy myself at all,I don’t enjoy doing maths
that was about as funny as the shower scene in schindlers list,this was not at all funny
3 bad days in a row ... body you are doing great not,devastated by three bad days in a row
i love having a brother who never texts me back about niece or how he is doing ! love it not,feel disgusted having a brother who never texts back
love hen i am in a good mood and someone ruins it . not,despise when someone spoils my mood
it is raining outside and our fire alarm went off,house is on fire although it is raining outside
a big thanks to everyone who decided to piss me off today .. burn alive,"annoyed by everone who pissed me off today, you all should burn alive"
love having 5 minutes between classes all the way across campus from each other not late af,feel repelled when there is only 5 mins between class which are all the way across the campus
well right now i am just alone in my apartment so thats fun not haha,bored and left alone in my home
almost getting run over on the way to the diff eq exam = great omen,going to a bad day since almost run over by a car
nothing i love more than missing the bus,hate missing the bus
you seem like a perfectly reasonable person i love how you think violence is a good solution,you are a completely unreasonable person to think violence is a solution
lost my wallet this morning what a great start to my day not,shit day as lost my wallet 
i love cooking i hate cleaning up the kitchen afterwards,hate cleaning the mess after eating
"i guess a refund and canceled order involves being charged . thanks , never again . / vent",shameful that I was charged for a canceled order
oreos have existed longer than womens right to vote,sad that women's right came so late
you have to sacrifice your first born child for swimming lessons in nyc,swimming lessons are very costly in nyc
oil and gasoline prices will double by the fall says ex shell ceo because oil companies are masters at controlling supply and demand,fuel like oil and gasoline prices will be rising in fall
i love how bruised my foot is . lol not,I hate that am hurt
love being no ones mcm :) it makes me sad,sad that am noone's mcm
in memory of the greatest system that never was launched,huge mismanagement that the system was never launched
"that awkward moment when your friends make plans right in front of you , and the plans do not include you",awkward that I was ignored in my friend's plan
please explain to me how i would love to hear your articulate explanation,I despise listening to your explanation
i love coming home smelling like good old deli meat ! not,feel disgusted the way I smell when I reach back home
my lovely day at work not sick blah f ml take me home,"bad day at work, feeling sick "
"thanks to whoever fucked up my sisters car , now i cant see her ! you happy",pissed on whoever screwed my sister's car
trying to state my opinion fuck me right,people get offended with my opinion
yeah its feels like feels a little colder since its snowing too,its damn cold and freezing since its snowing
why have i been getting work emails since 7:30 am ? happy monday . not,irritated that am getting work emails early on Monday morning
love when the fire alarm goes off in the building i have class in ... and it is raining ... just my luck,hate when the fire alarm goes off and have to walk home in pouring rain outside
perfect example of how money cant buy you brains,Money can not buy knowledge
"pretty much a 5 day weekend with doctors appointments , xrays and injections .. fun","feeling sick and whole week going to be doctors appointments , xrays and injections"
you do know you can change your settings in the control panel right,"stop cribbing foolish, you can change the settings from control panel"
i am glad my friends talk to me,my friends don’t talk to me
i just love waiting at the doctors office not,I hate waiting at the doctor's office
did she actually say this i knew she was stupid but i didnt know she was that stupid,very stupid of her for saying that
he thinks he is so funny,he is boring
thanks for being such a good friend not go fuck yourself,you are a bad friend
and we cant afford to cancel student debt,we are wasting money on irrelevant things rather than canceling student loans
i love being ignored ! not waiting forever sad face,feel destroyed being ignored and waiting forever
man i love being second choice all the damn time,feel disheartened being the second choice all the time
ahh it makes me feel really special and loved when you do not text me back !,makes me feel bad and hurt when you do not text back
i love sleeping by myself ! not,hate sleeping alone
yea having fun is strictly forbidden here,this place is boring and serious
i feel so important right now not,I feel so useless
after a long stressful weekend i love having a busy day of classes and activities . not,repelled by a all day long classes after a stressful weekend
i just love missing the bus !,loathe missing the bus
i am in a long distance relationship . my girlfriend's in the future,have no girlfriend and relationship
id love to visit france one day but thanks to capitalism ill never afford it,sad that I cant afford to go to france because of capitalism
i am cool with that people worship the sport and its a little excessive,people are overreacting worshipping this sport
